"aerolinea","origen","destino","fecha_partida"
"DL","ATL","LAX","2026-01-14T16:05:00"
"DL","ATL","JFK","2026-01-14T16:15:00"
"AA","ORD","MIA","2026-01-14T16:20:00"
"UA","DFW","SEA","2026-01-14T16:25:00"
"WN","BOS","SFO","2026-01-14T16:30:00"
"DL","ATL","ORD","2026-01-14T16:35:00"
"AA","JFK","LAX","2026-01-14T16:40:00"
"DL","MSP","DEN","2026-01-14T16:45:00"
"UA","ORD","DFW","2026-01-14T16:50:00"
"WN","LAX","PHX","2026-01-14T16:55:00"
"DL","ATL","LAX","2026-01-14T17:05:00"
"AA","ORD","MIA","2026-01-14T17:10:00"
"UA","DFW","SEA","2026-01-14T17:15:00"
"WN","BOS","SFO","2026-01-14T17:20:00"
"DL","JFK","ORD","2026-01-14T17:25:00"
"AA","MIA","DFW","2026-01-14T17:30:00"
"UA","SEA","LAX","2026-01-14T17:35:00"
"DL","DEN","ATL","2026-01-14T17:40:00"
"WN","PHX","ORD","2026-01-14T17:45:00"
"DL","LAX","JFK","2026-01-14T17:50:00"
"AA","DFW","MIA","2026-01-14T17:55:00"
"DL","ATL","ORD","2026-01-14T18:05:00"
"UA","DFW","SEA","2026-01-14T18:10:00"
"WN","BOS","SFO","2026-01-14T18:15:00"
"DL","JFK","LAX","2026-01-14T18:20:00"
"AA","ORD","DFW","2026-01-14T18:25:00"
"UA","SEA","ORD","2026-01-14T18:30:00"
"DL","MSP","ATL","2026-01-14T18:35:00"
"WN","LAX","DEN","2026-01-14T18:40:00"
"DL","ORD","JFK","2026-01-14T18:45:00"
"AA","MIA","ORD","2026-01-14T18:50:00"
"UA","DFW","LAX","2026-01-14T18:55:00"
"DL","ATL","SEA","2026-01-14T19:05:00"
"AA","JFK","DFW","2026-01-14T19:10:00"
"UA","ORD","SEA","2026-01-14T19:15:00"
"WN","BOS","PHX","2026-01-14T19:20:00"
"DL","MIA","ATL","2026-01-14T19:25:00"
"AA","DFW","ORD","2026-01-14T19:30:00"
"UA","LAX","DFW","2026-01-14T19:35:00"
"DL","DEN","JFK","2026-01-14T19:40:00"
"WN","PHX","BOS","2026-01-14T19:45:00"
"DL","SEA","ATL","2026-01-14T19:50:00"
"AA","ORD","JFK","2026-01-14T19:55:00"
"DL","ATL","LAX","2026-01-15T16:05:00"
"AA","ORD","MIA","2026-01-15T16:10:00"
"UA","DFW","SEA","2026-01-15T16:15:00"
"WN","BOS","SFO","2026-01-15T16:20:00"
"DL","JFK","ORD","2026-01-15T16:25:00"
"AA","MIA","DFW","2026-01-15T16:30:00"
"UA","SEA","LAX","2026-01-15T16:35:00"
"DL","DEN","ATL","2026-01-15T16:40:00"
"WN","PHX","ORD","2026-01-15T16:45:00"
"DL","LAX","JFK","2026-01-15T16:50:00"
"AA","DFW","MIA","2026-01-15T16:55:00"
"DL","ATL","ORD","2026-01-15T17:05:00"
"UA","DFW","SEA","2026-01-15T17:10:00"
"WN","BOS","SFO","2026-01-15T17:15:00"
"DL","JFK","LAX","2026-01-15T17:20:00"
"AA","ORD","DFW","2026-01-15T17:25:00"
"UA","SEA","ORD","2026-01-15T17:30:00"
"DL","MSP","ATL","2026-01-15T17:35:00"
"WN","LAX","DEN","2026-01-15T17:40:00"
"DL","ORD","JFK","2026-01-15T17:45:00"
"AA","MIA","ORD","2026-01-15T17:50:00"
"UA","DFW","LAX","2026-01-15T17:55:00"
"DL","ATL","SEA","2026-01-15T18:05:00"
"AA","JFK","DFW","2026-01-15T18:10:00"
"UA","ORD","SEA","2026-01-15T18:15:00"
"WN","BOS","PHX","2026-01-15T18:20:00"
"DL","MIA","ATL","2026-01-15T18:25:00"
"AA","DFW","ORD","2026-01-15T18:30:00"
"UA","LAX","DFW","2026-01-15T18:35:00"
"DL","DEN","JFK","2026-01-15T18:40:00"
"WN","PHX","BOS","2026-01-15T18:45:00"
"DL","SEA","ATL","2026-01-15T18:50:00"
"AA","ORD","JFK","2026-01-15T18:55:00"
"DL","ATL","LAX","2026-01-15T19:05:00"
"AA","ORD","MIA","2026-01-15T19:10:00"
"UA","DFW","SEA","2026-01-15T19:15:00"
"WN","BOS","SFO","2026-01-15T19:20:00"
"DL","JFK","ORD","2026-01-15T19:25:00"
"AA","MIA","DFW","2026-01-15T19:30:00"
"UA","SEA","LAX","2026-01-15T19:35:00"
"DL","DEN","ATL","2026-01-15T19:40:00"
"WN","PHX","ORD","2026-01-15T19:45:00"
"DL","LAX","JFK","2026-01-15T19:50:00"
"AA","DFW","MIA","2026-01-15T19:55:00"
